frame_index,compression_rank,threshold,reconstruction_error,is_novel_predicted,is_novel_truth,gate_ms,ai_called,ai_infer_ms,ai_e2e_ms,cpu_percent,memory_mb,timestamp
98,10,0.0500,0.058884,0,1,41.3444,0,0.0000,41.3470,0.00,389.12,1764816467.448062
99,10,0.0500,0.057380,0,1,38.8315,0,0.0000,38.8341,0.00,389.12,1764816467.499891
100,10,0.0500,0.050128,0,0,39.3820,0,0.0000,39.3844,0.00,389.12,1764816467.549662
101,10,0.0500,0.068792,0,0,39.3486,0,0.0000,39.3510,0.00,389.12,1764816467.600014
102,10,0.0500,0.064194,0,0,39.4647,0,0.0000,39.4671,0.00,389.12,1764816467.649822
103,10,0.0500,0.069068,0,0,40.6735,0,0.0000,40.6764,0.00,389.12,1764816467.699861
104,10,0.0500,0.060762,0,0,40.1702,0,0.0000,40.1723,0.00,389.12,1764816467.751778
105,10,0.0500,0.062445,0,0,38.5673,0,0.0000,38.5699,0.00,389.12,1764816467.802178
106,10,0.0500,0.059203,0,0,39.2644,0,0.0000,39.2663,0.00,389.12,1764816467.851249
107,10,0.0500,0.059780,0,0,39.1614,0,0.0000,39.1638,0.00,389.12,1764816467.900757
108,10,0.0500,0.065414,0,0,40.7114,0,0.0000,40.7135,0.00,389.12,1764816467.950797
109,10,0.0500,0.070443,0,0,40.5080,0,0.0000,40.5104,0.00,389.12,1764816468.002212
110,10,0.0500,0.066541,0,1,41.2381,0,0.0000,41.2405,0.00,389.12,1764816468.053475
111,10,0.0500,0.056786,0,1,42.1176,0,0.0000,42.1202,0.00,389.12,1764816468.105952
112,10,0.0500,0.062374,0,0,40.7832,0,0.0000,40.7856,0.00,389.12,1764816468.158589
113,10,0.0500,0.070916,0,0,41.1706,0,0.0000,41.1727,0.00,389.12,1764816468.210340
114,10,0.0500,0.074015,0,0,38.9223,0,0.0000,38.9247,0.00,389.12,1764816468.262266
115,10,0.0500,0.083636,0,0,42.2544,0,0.0000,42.2566,0.00,389.12,1764816468.312160
116,10,0.0500,0.092938,0,0,41.2092,0,0.0000,41.2116,0.00,389.12,1764816468.364691
117,10,0.0500,0.079370,0,0,42.1042,0,0.0000,42.1064,0.00,389.12,1764816468.416252
0,10,0.1000,0.139776,1,0,38.9185,1,50.6642,89.5853,0.00,389.12,1764816468.470935
1,10,0.1000,0.123607,0,0,45.6665,0,0.0000,45.6698,1065.80,389.12,1764816468.570913
2,10,0.1000,0.135453,0,0,39.1114,0,0.0000,39.1142,777.00,389.12,1764816468.626989
3,10,0.1000,0.136920,0,0,36.4213,0,0.0000,36.4234,1237.40,389.12,1764816468.676225
4,10,0.1000,0.111058,0,0,35.4288,0,0.0000,35.4311,0.00,389.12,1764816468.722815
5,10,0.1000,0.077864,0,0,31.9221,0,0.0000,31.9247,0.00,389.12,1764816468.768872
6,10,0.1000,0.070615,0,0,39.6399,0,0.0000,39.6421,0.00,389.12,1764816468.811192
7,10,0.1000,0.077573,0,0,39.6869,0,0.0000,39.6891,0.00,389.12,1764816468.861577
8,10,0.1000,0.160259,0,0,42.5036,0,0.0000,42.5062,0.00,389.12,1764816468.911889
9,10,0.1000,0.161678,0,0,42.8786,0,0.0000,42.8813,0.00,389.12,1764816468.965048
10,10,0.1000,0.165443,0,0,41.9378,0,0.0000,41.9400,0.00,389.12,1764816469.018345
11,10,0.1000,0.166489,0,0,41.2738,0,0.0000,41.2769,0.00,389.12,1764816469.070976
